word,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5
u2-me,in,0.6216,u2-pa-at,0.6177,ku-ši-ih,0.5883,[…],0.5622,a-ak,0.5591
u2,u2-pa-at,0.5209,u2-me,0.4996,tu4-ur,0.4831,a-ak,0.4362,ku-ši-ih,0.4284
ku-ši-ih,u2-me,0.5883,in,0.5663,u2-pa-at,0.5447,(d)in-šu-uš-na-ak,0.5423,a-ak,0.5222
(m)un-taš-dingir-gal,te-ip-ti],0.3734,tu4-ur,0.3512,ku-ši-ih,0.3166,ak-ka,0.3119,(d)in-šu-uš-na-ak4,0.3117
ša-ak,ir,0.3164,hu-[ut-tah],0.2961,(d)zu-un-ki-ir-ri-ša-ar-ra-me,0.2927,(f)na-pír-a-su,0.2779,si-ia-an-ku-uk-pa],0.277
an-za-an,[…],0.4854,u2-me,0.4183,in,0.4024,si-ia-an,0.3898,(d)na-ah-hu-un-te,0.3895
a-ak,tu4-ur,0.6384,(d)in-šu-uš-na-ak,0.5952,u2-me,0.5591,si-ia-an-ku-uk-ra,0.5296,šu-šu-un-ka,0.5249
šu-šu-un-ka,a-ak,0.5249,tu4-ur,0.5112,ku-ši-ih,0.49,u2-me,0.4792,hu-us-si-ip-me,0.4589
su-un-ki-ik,u2-me,0.4824,u2-pa-at,0.4669,ku-ši-ih,0.4491,tu4-ur,0.4121,hi-en-ka,0.4035
si-ia-an,in,0.5455,a-gi,0.5068,u2-pa-at,0.4909,dingir-gal,0.4478,ku-ši-ih,0.4308
tu4-ur,a-ak,0.6384,hi-en-ka,0.5364,šu-šu-un-ka,0.5112,ku-ši-ih,0.5112,u2-me,0.4933
te-la-ak-ni,ša-ra-ra,0.3357,[si-it-tim,0.3068,(d)pi-el-ti-ya,0.3037,in,0.3022,zi-it-me,0.2986
dingir-gal,u2-me,0.5421,(d)in-šu-uš-na-ak,0.5062,u2-pa-at,0.5027,a-gi,0.5025,mu-ur-tah,0.5012
(d)in-šu-uš-na-ak,a-ak,0.5952,ku-ši-ih,0.5423,u2-me,0.5318,dingir-gal,0.5062,[…],0.4978
in,u2-me,0.6216,hu-us-si-ip-me,0.5709,ku-ši-ih,0.5663,si-it-me,0.5478,si-ia-an,0.5455
hu-ut-tak-ha-li-ik,a-gi,0.4591,hi-en-ga,0.4487,in,0.4396,ku-ši-ih,0.4215,in-ti-ik-ka,0.4043
du-ni-ih,u2-me,0.5116,(d)in-šu-uš-na-ak,0.4611,in,0.4488,ku-ši-ih,0.4415,a-ak,0.4263
u2-pa-at,u2-me,0.6177,ku-ši-ih,0.5447,[…],0.5212,u2,0.5209,dingir-gal,0.5027
hi-ih,a-pu-un,0.4864,ku-ši-ih,0.4684,a-gi,0.4409,tu4-ni-ih,0.4367,u2-me,0.425
hu-us-si-ip-me,in,0.5709,u2-me,0.5235,a-ak,0.5041,dingir-gal,0.4884,tu4-ur,0.4869
si-ia-an-ku-uk-ra,a-gi,0.5453,a-ak,0.5296,in,0.5163,ku-ši-ih,0.503,u2-me,0.5018
a-gi,si-ia-an-ku-uk-ra,0.5453,hi-en-ka,0.5422,u2-me,0.5176,si-ia-an,0.5068,ku-ši-ih,0.5056
li-na,hi-en-ga,0.3933,si-it-me,0.3903,(d)PA.TUG2,0.3615,pi-[el,0.3414,u2-ri-pu-pi,0.3397
(md)hu-um-ban-nu-me-na-gi,up-ku-mi-[ia],0.293,te-[la-ak-ni],0.2632,la-an-si-ti-me,0.2457,hu]-us-si-ip-me,0.2434,a-ha,0.222
[…],u2-me,0.5622,u2-pa-at,0.5212,(d)in-šu-uš-na-ak,0.4978,ku-ši-ih,0.4895,an-za-an,0.4854
si-it-me,in,0.5478,u2-me,0.5155,a-gi,0.4812,u2-pa-at,0.4717,šu-šu-un-ka,0.4563
ir,u2-me,0.4199,a-ak,0.3923,u2-pa-at,0.3823,(d)in-šu-uš-na-ak,0.3667,hu-us-si-ip-me,0.354
tu4-ni-ih,hi-ih,0.4367,in-gi,0.397,(d)in-šu-uš-na-ak,0.3899,a-gi,0.3834,a-ha-ar,0.3537
si-ia-an-ku-uk-pa,dingir-gal,0.4512,in,0.4269,si-it-me,0.3992,si-ia-an,0.3659,ki-it-ti-im-ma,0.3514
zu-un-ki-ik,im-me,0.4103,hu-ut-tah-ša,0.4018,in-ti-ik-ka,0.2999,lu-mu-un-ra,0.2668,hi-en-ka,0.2588
in-gi,u2-me,0.5031,dingir-gal,0.4897,ku-ši-ih,0.4884,in,0.4831,(d)in-šu-uš-na-ak,0.451
ki-it-ti-im-ma,in,0.5253,hu-ut-tak-ha-li-ik,0.4028,si-ia-an,0.394,si-it-me,0.3901,u2-me,0.3889
na-a,si-a-an-ku-uk-ra,0.3245,[h]a-li-ik,0.314,pu-uh-x-x,0.3009,šu-ul-lu-me-en-ka,0.2971,hi-en-ka,0.2898
ta-ak-me,tu4-ur,0.4418,(d)in-šu-uš-na-ak,0.4286,hu-us-si-ip-me,0.427,a-ak,0.4227,dingir-gal,0.3962
me-lu-uk-ra,u2,0.3818,a-gi,0.3692,ul-li-na,0.3564,hi-en-ka,0.35,a-pu-un,0.3462
pi-el,(d)in-šu-uš-na-ak,0.3651,in,0.345,u2-me,0.3434,zu-un-ki-me,0.3383,(d)in-šu-[uš]-na-ak,0.3257
si-ia-an-ku-uk,u2-me,0.4509,az-ki-it,0.4196,u2,0.403,in,0.3684,ku-ši-ih,0.3634
az-ki-it,u2-me,0.5162,u2-pa-at,0.4549,in,0.4303,sah-ri,0.4281,(d)in-šu-uš-na-ak,0.4213
ul-li-na,du-ni-ih,0.4101,a-ak,0.3773,u2,0.3738,u2-ri-pu-pi,0.3656,ku-ši-ih,0.3576
un,a-gi,0.402,ša-ri-ih,0.3776,u2,0.3768,a-ak,0.3681,in-ti-ik-ka,0.364
hu-šu-ia,ku-ši-ih,0.4237,tu4-ur,0.398,u2-me,0.3877,(d)in-šu-ši-na-ak,0.3467,a-ak,0.3367
(d)in-šu-ši-na-ak,ku-ši-ih,0.4628,u2-me,0.4182,hi-en-ka,0.4179,si-ia-an,0.4173,a-gi,0.4021
hi-en-ka,a-gi,0.5422,tu4-ur,0.5364,u2-me,0.5191,ku-ši-ih,0.4975,u2-pa-at,0.4564
hi-en-ga,u2-me,0.4809,hu-ut-tak-ha-li-ik,0.4487,hi-en-ka,0.4435,šu-šu-un-ka,0.4371,u2-pa-at,0.4323
sah-ri,in,0.4591,u2-me,0.4329,az-ki-it,0.4281,in-gi,0.4075,si-it-me,0.4034
a-ha-ar,in,0.5358,u2-me,0.4586,hu-us-si-ip-me,0.4416,in-gi,0.4033,a-ak,0.3976
ap-pa,ku-ši-ih,0.3714,si-a-an-ku-uk-ra,0.3612,in,0.3519,su-un-ki-ik,0.345,tu4-um-pa-an-ra,0.3395
mu-ur-tah,dingir-gal,0.5012,in,0.427,si-ia-an,0.4251,u2,0.4243,u2-pa-at,0.4221
u3,ša-tu4-uh-ni,0.2921,ku-[ši-ih,0.2457,uk-ku-pi,0.244,du-ni-iš-ni,0.2303,kuš3,0.2298
i,u2-me,0.3673,a-ha-ar,0.3551,(d)in-šu-uš-na-ak,0.3302,ša-ra-ra,0.3246,pi-el],0.3205
a-ha-an,si-ti-i,0.341,a-al,0.3221,a-ha-ar,0.3006,(d)in-šu-ši-na-ak,0.2898,ki-it-ti-in,0.2851
(d)PA.TUG2,u2-me,0.4128,in,0.4106,[…],0.4039,hu-ut-tak-ha-li-ik,0.3932,mu-ur-tah,0.3872
im-me,a-gi,0.5025,ku-ši-ih,0.4132,zu-un-ki-ik,0.4103,si-ia-an,0.398,in,0.3841
zu-un-ki-me,šu-šu-un-ka,0.4016,ta-at-ta-ah,0.3568,u2-me,0.3553,pi-el,0.3383,hu-us-si-ip-me,0.3352
in-ti-ik-ka,a-gi,0.4181,hu-ut-tak-ha-li-ik,0.4043,si-ia-an,0.399,ku-ši-ih,0.3856,in,0.3781
(md)hu-um-ban-nu-me-na-ki,pa-ka-an-ra,0.3137,hu-uh-tah,0.252,{li}-na,0.2517,(m)un-t[aš]-dingir-gal,0.2476,si-ia-an-[ku-uk-ra,0.2459
zi-it-me,si-it-me,0.3302,hu-ut-tak-ha-li-ik,0.317,[…],0.3061,te-la-ak-ni,0.2986,a-gi,0.2924
ša-ri-ih,a-ak,0.4339,un,0.3776,in,0.3774,si-ia-an,0.3656,(d)in-šu-uš-na-ak,0.3357
ak-ka,tu4-ur,0.463,in,0.4438,su-un-ki-me,0.4386,si-ia-an,0.3936,sah-ri,0.3751
la-ha-ak-ir-ra,(d)in-šu-uš-na-ak,0.4265,tu4-ur,0.4067,a-ak,0.3879,a-ha,0.378,si-ia-an-ku-uk-ra,0.3656
a-pu-un,u2-me,0.5392,hi-ih,0.4864,dingir-gal,0.4425,hu-us-si-ip-me,0.4383,si-it-me,0.4315
šu-ul-lu-me-en-ga,tu4-um-pa,0.2802,[la-ha-ak-ir-ra,0.2598,i-la-a-ni-me,0.2551,az-ki-it,0.2531,pi-ti-ir,0.2494
si-a-an-ku-uk-ra,ku-ši-ih,0.4995,in,0.4878,si-it-me,0.426,e,0.4196,in-gi,0.3893
in-di-ig-ga,in,0.3826,a-ha-ar,0.3806,[ku-ku]-un-nu-um,0.3185,la-an-si-ti-me,0.3068,si-a-an,0.2956
šu-ul-lu-me-ga,(d)PA.TUG2,0.2902,u2,0.2781,a-pu-un,0.2765,si-a-an,0.2487,ku]-ku-un-[nu-um,0.2464
te-ip-ti,u2-me,0.3251,[…],0.3084,ku-ul-la-an-ka,0.3003,hu-ut2-tak?-ha?-[…],0.2962,tu4-ur,0.2918
a-ha,la-ha-ak-ir-ra,0.378,(d)in-šu-uš-na-ak,0.3533,a-ak,0.3521,az-ki-it,0.3427,hi-ih,0.3372
u2-ri-pu-pi,a-ak,0.4478,si-ia-an-ku-uk-ra,0.4172,hi-en-ga,0.4097,u2-pa-at,0.4068,a-gi,0.4039
su-un-ki-me,ak-ka,0.4386,si-ia-an,0.4026,in,0.3974,a-gi,0.3808,ni-im-ma,0.3783
su-un-ki-ip,ha-at,0.3282,su-un-ki-ik,0.3246,mi-ši-ma-na,0.315,ta-ak-me,0.3144,šu-šu-un-ka,0.3017
ku-ku-un-nu-um,in,0.3206,(d)ki-ri-ri-ša-me,0.3109,im-me,0.309,u2,0.3065,in]-ti-ig-[ga],0.2926
(d)ki-ri-ri-ša,hu-us-si-ip-me,0.4562,in,0.4223,si-it-me,0.3929,hi-en-ka,0.3916,šu-šu-un-ka,0.3914
si-a-an,si-it-me],0.38,(d)PA.TUG2,0.352,hu-ut-tak-ha-li-ik,0.3372,[ku-ku]-un-nu-um,0.3272,tu4-ur,0.3213
in-di-ik-ka,tu4-ru-un-ka,0.3896,[šu-šu-un-ka,0.3453,a-ak,0.3058,(d)iš-ni-ka-ra-ab,0.3045,u2,0.298
la-an-si-ti-ip-pa,sah-ri,0.35,si-ia-an-ku-uk-pa,0.3286,mu-ši-it-ta,0.3262,(d)na-bi-um,0.3077,ki-it-ti-im-ma,0.3004
(d)im,ri,0.3145,ka?-ap-na-ak,0.311,li-ik-ri,0.2954,hu-pi-e,0.2923,si-ia-an-ku-uk-pa,0.2869
tu4-um-pa-an-ra,si-ia-an,0.3599,me-en-pu,0.3488,ap-pa,0.3395,im-me,0.3352,ul-li-na,0.3284
(d)30,[…u2-pa-at,0.3131,ki-ik-ki-[…],0.2956,hi-[…],0.2738,ul-li-na,0.2711,si-ia-an-ku]-uk-pa,0.2661
si-ia-an-ra,u2-me,0.3207,lu-be-en,0.3079,un,0.2924,na,0.2876,la-an-si-ti-me,0.2807
hu-ut-ta-an-ra,a-pi-me,0.3706,si-ia-an,0.3543,u2-pa-at,0.3434,la-an-[si-ti-me,0.3407,hi-en-ka,0.3392
tu4-ru-un-ka,in-di-ik-ka,0.3896,a-ak,0.3787,(d)in-šu-uš-na-ak,0.3556,si-ia-an-ku-uk,0.3477,tu4-ur,0.3442
ku-ul-la-an-ka,si-a-an-ku-uk-ra,0.3676,te-ip-ti,0.3003,si]-it-tim,0.2781,lu-lu-uh-šu,0.2769,ša-ri-ih,0.2743
