id,label,determinative,suffix,contains_divine,is_fragmentary,syllable_count
u2-me,u2-me,,me,False,False,2
u2,u2,,,False,False,1
ku-ši-ih,ku-ši-ih,,,False,False,3
(m)un-taš-dingir-gal,(m)un-taš-dingir-gal,personal-male,,True,False,4
ša-ak,ša-ak,,ak,False,False,2
an-za-an,an-za-an,,,False,False,3
a-ak,a-ak,,ak,False,False,2
šu-šu-un-ka,šu-šu-un-ka,,ka,False,False,4
su-un-ki-ik,su-un-ki-ik,,ik,False,False,4
si-ia-an,si-ia-an,,,False,False,3
tu4-ur,tu4-ur,,,False,False,2
te-la-ak-ni,te-la-ak-ni,,ni,False,False,4
dingir-gal,dingir-gal,,,True,False,2
(d)in-šu-uš-na-ak,(d)in-šu-uš-na-ak,divine,ak,True,False,5
in,in,,,False,False,1
hu-ut-tak-ha-li-ik,hu-ut-tak-ha-li-ik,,ik,False,False,6
du-ni-ih,du-ni-ih,,,False,False,3
u2-pa-at,u2-pa-at,,,False,False,3
hi-ih,hi-ih,,,False,False,2
hu-us-si-ip-me,hu-us-si-ip-me,,me,False,False,5
si-ia-an-ku-uk-ra,si-ia-an-ku-uk-ra,,ra,False,False,6
a-gi,a-gi,,,False,False,2
li-na,li-na,,na,False,False,2
(md)hu-um-ban-nu-me-na-gi,(md)hu-um-ban-nu-me-na-gi,divine-personal,,True,False,7
[…],[…],,,False,True,1
si-it-me,si-it-me,,me,False,False,3
ir,ir,,,False,False,1
tu4-ni-ih,tu4-ni-ih,,,False,False,3
si-ia-an-ku-uk-pa,si-ia-an-ku-uk-pa,,,False,False,6
zu-un-ki-ik,zu-un-ki-ik,,ik,False,False,4
in-gi,in-gi,,,False,False,2
ki-it-ti-im-ma,ki-it-ti-im-ma,,,False,False,5
na-a,na-a,,,False,False,2
ta-ak-me,ta-ak-me,,me,False,False,3
me-lu-uk-ra,me-lu-uk-ra,,ra,False,False,4
pi-el,pi-el,,,False,False,2
si-ia-an-ku-uk,si-ia-an-ku-uk,,,False,False,5
az-ki-it,az-ki-it,,,False,False,3
ul-li-na,ul-li-na,,na,False,False,3
un,un,,,False,False,1
hu-šu-ia,hu-šu-ia,,,False,False,3
(d)in-šu-ši-na-ak,(d)in-šu-ši-na-ak,divine,ak,True,False,5
hi-en-ka,hi-en-ka,,ka,False,False,3
hi-en-ga,hi-en-ga,,ga,False,False,3
sah-ri,sah-ri,,,False,False,2
a-ha-ar,a-ha-ar,,,False,False,3
ap-pa,ap-pa,,,False,False,2
mu-ur-tah,mu-ur-tah,,,False,False,3
u3,u3,,,False,False,1
i,i,,,False,False,1
a-ha-an,a-ha-an,,,False,False,3
(d)PA.TUG2,(d)PA.TUG2,divine,,True,False,1
im-me,im-me,,me,False,False,2
zu-un-ki-me,zu-un-ki-me,,me,False,False,4
in-ti-ik-ka,in-ti-ik-ka,,ka,False,False,4
(md)hu-um-ban-nu-me-na-ki,(md)hu-um-ban-nu-me-na-ki,divine-personal,,True,False,7
zi-it-me,zi-it-me,,me,False,False,3
ša-ri-ih,ša-ri-ih,,,False,False,3
ak-ka,ak-ka,,ka,False,False,2
la-ha-ak-ir-ra,la-ha-ak-ir-ra,,ra,False,False,5
a-pu-un,a-pu-un,,,False,False,3
šu-ul-lu-me-en-ga,šu-ul-lu-me-en-ga,,ga,False,False,6
si-a-an-ku-uk-ra,si-a-an-ku-uk-ra,,ra,False,False,6
in-di-ig-ga,in-di-ig-ga,,ga,False,False,4
šu-ul-lu-me-ga,šu-ul-lu-me-ga,,ga,False,False,5
te-ip-ti,te-ip-ti,,,False,False,3
a-ha,a-ha,,,False,False,2
u2-ri-pu-pi,u2-ri-pu-pi,,,False,False,4
su-un-ki-me,su-un-ki-me,,me,False,False,4
su-un-ki-ip,su-un-ki-ip,,ip,False,False,4
ku-ku-un-nu-um,ku-ku-un-nu-um,,,False,False,5
(d)ki-ri-ri-ša,(d)ki-ri-ri-ša,divine,,True,False,4
si-a-an,si-a-an,,,False,False,3
in-di-ik-ka,in-di-ik-ka,,ka,False,False,4
la-an-si-ti-ip-pa,la-an-si-ti-ip-pa,,,False,False,6
(d)im,(d)im,divine,,True,False,1
tu4-um-pa-an-ra,tu4-um-pa-an-ra,,ra,False,False,5
(d)30,(d)30,divine,,True,False,1
si-ia-an-ra,si-ia-an-ra,,ra,False,False,4
hu-ut-ta-an-ra,hu-ut-ta-an-ra,,ra,False,False,5
tu4-ru-un-ka,tu4-ru-un-ka,,ka,False,False,4
ku-ul-la-an-ka,ku-ul-la-an-ka,,ka,False,False,5
a-ni,a-ni,,ni,False,False,2
uk-ku-ri,uk-ku-ri,,,False,False,3
ha-li-ih,ha-li-ih,,,False,False,3
hu-pi-e,hu-pi-e,,,False,False,3
(d)hu-ban-um-me-en-na-ki,(d)hu-ban-um-me-en-na-ki,divine,,True,False,7
(d)ši-mut,(d)ši-mut,divine,,True,False,2
