id_text,id_word,Text,Cosine_similarity
UntN TZ 1,UntN_TZ_1_00001,u2,0.4736
UntN TZ 1,UntN_TZ_1_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 1,UntN_TZ_1_00003,ša-ak,0.292
UntN TZ 1,UntN_TZ_1_00004,(md)hu-ban-nu-me-na-gi,0.3514
UntN TZ 1,UntN_TZ_1_00005,su-un-ki-ik,0.4428
UntN TZ 1,UntN_TZ_1_00006,an-za-an,0.4171
UntN TZ 1,UntN_TZ_1_00007,šu-šu-un-ka,0.4929
UntN TZ 1,UntN_TZ_1_00008,u2-pa-at,0.5415
UntN TZ 1,UntN_TZ_1_00009,la-an-si-ti-ip-pa,0.3226
UntN TZ 1,UntN_TZ_1_00010,te-pu-uh,0.2557
UntN TZ 1,UntN_TZ_1_00011,ul-hi,0.3341
UntN TZ 1,UntN_TZ_1_00012,i,0.3395
UntN TZ 1,UntN_TZ_1_00013,a-ha-a,0.3168
UntN TZ 1,UntN_TZ_1_00014,ku-ši-ih,0.5528
UntN TZ 1,UntN_TZ_1_00015,dingir-gal,0.5109
UntN TZ 1,UntN_TZ_1_00016,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00017,(d)in-šu-uš-na-ak,0.5347
UntN TZ 1,UntN_TZ_1_00018,si-ia-an-ku-uk-pa,0.3989
UntN TZ 1,UntN_TZ_1_00019,a-pu,0.3158
UntN TZ 1,UntN_TZ_1_00020,u2,0.4736
UntN TZ 1,UntN_TZ_1_00021,du-ni-ih,0.4579
UntN TZ 1,UntN_TZ_1_00022,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 1,UntN_TZ_1_00023,u2-me,0.5898
UntN TZ 1,UntN_TZ_1_00024,dingir-gal,0.5109
UntN TZ 1,UntN_TZ_1_00025,(d)in-šu-uš-na-ak,0.5347
UntN TZ 1,UntN_TZ_1_00026,si-ia-an-ku-uk-pa,0.3989
UntN TZ 1,UntN_TZ_1_00027,li-na,0.3652
UntN TZ 1,UntN_TZ_1_00028,te-la-ak-ni,0.3094
UntN TZ 1,UntN_TZ_1_00029,si-ia-an,0.4844
UntN TZ 1,UntN_TZ_1_00030,ap-pa,0.3538
UntN TZ 1,UntN_TZ_1_00031,ku-ši-ih-ma,0.2767
UntN TZ 1,UntN_TZ_1_00032,pi-el,0.3435
UntN TZ 1,UntN_TZ_1_00033,ki-it-ti-im-ma,0.4202
UntN TZ 1,UntN_TZ_1_00034,na-a,0.3053
UntN TZ 1,UntN_TZ_1_00035,me-lu-uk-ra,0.3607
UntN TZ 1,UntN_TZ_1_00036,DINGIR-GAL,0.2518
UntN TZ 1,UntN_TZ_1_00037,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00038,(d)in-šu-uš-na-ak,0.5347
UntN TZ 1,UntN_TZ_1_00039,si-ia-an-ku-uk-pa,0.3989
UntN TZ 1,UntN_TZ_1_00040,gi-ri-na,0.3488
UntN TZ 1,UntN_TZ_1_00041,hi-ih-li,0.2918
UntN TZ 1,UntN_TZ_1_00042,su-un-ki-ir,0.263
UntN TZ 1,UntN_TZ_1_00043,pi-ti-ir,0.2471
UntN TZ 1,UntN_TZ_1_00044,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00045,ta-ri-ir,0.2891
UntN TZ 1,UntN_TZ_1_00046,ak-ka,0.4228
UntN TZ 1,UntN_TZ_1_00047,me-el-ka-an-ra,0.2916
UntN TZ 1,UntN_TZ_1_00048,ha-at-ta-an-ra,0.2933
UntN TZ 1,UntN_TZ_1_00049,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00050,la-an-si-ti-e,0.2712
UntN TZ 1,UntN_TZ_1_00051,du-un-ra,0.2477
UntN TZ 1,UntN_TZ_1_00052,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00053,hi-iš,0.258
UntN TZ 1,UntN_TZ_1_00054,(m)un-taš-dingir-gal-me,0.2795
UntN TZ 1,UntN_TZ_1_00055,su-ku-ša-ak,0.2631
UntN TZ 1,UntN_TZ_1_00056,i-me-ni,0.2771
UntN TZ 1,UntN_TZ_1_00057,a-ha-ar,0.4474
UntN TZ 1,UntN_TZ_1_00058,ta-an-ra,0.2695
UntN TZ 1,UntN_TZ_1_00059,ha-at,0.2984
UntN TZ 1,UntN_TZ_1_00060,dingir-gal,0.5109
UntN TZ 1,UntN_TZ_1_00061,(d)in-šu-uš-na-ak,0.5347
UntN TZ 1,UntN_TZ_1_00062,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00063,(d)ki-ri-ri-ša,0.4109
UntN TZ 1,UntN_TZ_1_00064,si-ia-an-ku-uk-pa-ri,0.2449
UntN TZ 1,UntN_TZ_1_00065,uk-ku-ri,0.2768
UntN TZ 1,UntN_TZ_1_00066,ir,0.383
UntN TZ 1,UntN_TZ_1_00067,ta-ak-ni,0.3475
UntN TZ 1,UntN_TZ_1_00068,(d)na-ah-hu-un-te-ir,0.3049
UntN TZ 1,UntN_TZ_1_00069,ša-ra-ra,0.3309
UntN TZ 1,UntN_TZ_1_00070,pa-ar,0.291
UntN TZ 1,UntN_TZ_1_00071,a-ni,0.3087
UntN TZ 1,UntN_TZ_1_00072,i,0.3395
UntN TZ 1,UntN_TZ_1_00073,ku-tu4-un,0.3181
UntN TZ 1,UntN_TZ_1_00074,su-un-ki-ir,0.263
UntN TZ 1,UntN_TZ_1_00075,ha-ta-am-ti-ir,0.2543
