id_text,id_word,Text
UntN TZ 1,UntN_TZ_1_00001,u2
UntN TZ 1,UntN_TZ_1_00002,(m)un-taš-dingir-gal
UntN TZ 1,UntN_TZ_1_00003,ša-ak
UntN TZ 1,UntN_TZ_1_00004,(md)hu-ban-nu-me-na-gi
UntN TZ 1,UntN_TZ_1_00005,su-un-ki-ik
UntN TZ 1,UntN_TZ_1_00006,an-za-an
UntN TZ 1,UntN_TZ_1_00007,šu-šu-un-ka
UntN TZ 1,UntN_TZ_1_00008,u2-pa-at
UntN TZ 1,UntN_TZ_1_00009,la-an-si-ti-ip-pa
UntN TZ 1,UntN_TZ_1_00010,te-pu-uh
UntN TZ 1,UntN_TZ_1_00011,ul-hi
UntN TZ 1,UntN_TZ_1_00012,i
UntN TZ 1,UntN_TZ_1_00013,a-ha-a
UntN TZ 1,UntN_TZ_1_00014,ku-ši-ih
UntN TZ 1,UntN_TZ_1_00015,dingir-gal
UntN TZ 1,UntN_TZ_1_00016,a-ak
UntN TZ 1,UntN_TZ_1_00017,(d)in-šu-uš-na-ak
UntN TZ 1,UntN_TZ_1_00018,si-ia-an-ku-uk-pa
UntN TZ 1,UntN_TZ_1_00019,a-pu
UntN TZ 1,UntN_TZ_1_00020,u2
UntN TZ 1,UntN_TZ_1_00021,du-ni-ih
UntN TZ 1,UntN_TZ_1_00022,hu-ut-tak-ha-li-ik
UntN TZ 1,UntN_TZ_1_00023,u2-me
UntN TZ 1,UntN_TZ_1_00024,dingir-gal
UntN TZ 1,UntN_TZ_1_00025,(d)in-šu-uš-na-ak
UntN TZ 1,UntN_TZ_1_00026,si-ia-an-ku-uk-pa
UntN TZ 1,UntN_TZ_1_00027,li-na
UntN TZ 1,UntN_TZ_1_00028,te-la-ak-ni
UntN TZ 1,UntN_TZ_1_00029,si-ia-an
UntN TZ 1,UntN_TZ_1_00030,ap-pa
UntN TZ 1,UntN_TZ_1_00031,ku-ši-ih-ma
UntN TZ 1,UntN_TZ_1_00032,pi-el
UntN TZ 1,UntN_TZ_1_00033,ki-it-ti-im-ma
UntN TZ 1,UntN_TZ_1_00034,na-a
UntN TZ 1,UntN_TZ_1_00035,me-lu-uk-ra
UntN TZ 1,UntN_TZ_1_00036,DINGIR-GAL
UntN TZ 1,UntN_TZ_1_00037,a-ak
UntN TZ 1,UntN_TZ_1_00038,(d)in-šu-uš-na-ak
UntN TZ 1,UntN_TZ_1_00039,si-ia-an-ku-uk-pa
UntN TZ 1,UntN_TZ_1_00040,gi-ri-na
UntN TZ 1,UntN_TZ_1_00041,hi-ih-li
UntN TZ 1,UntN_TZ_1_00042,su-un-ki-ir
UntN TZ 1,UntN_TZ_1_00043,pi-ti-ir
UntN TZ 1,UntN_TZ_1_00044,a-ak
UntN TZ 1,UntN_TZ_1_00045,ta-ri-ir
UntN TZ 1,UntN_TZ_1_00046,ak-ka
UntN TZ 1,UntN_TZ_1_00047,me-el-ka-an-ra
UntN TZ 1,UntN_TZ_1_00048,ha-at-ta-an-ra
UntN TZ 1,UntN_TZ_1_00049,a-ak
UntN TZ 1,UntN_TZ_1_00050,la-an-si-ti-e
UntN TZ 1,UntN_TZ_1_00051,du-un-ra
UntN TZ 1,UntN_TZ_1_00052,a-ak
UntN TZ 1,UntN_TZ_1_00053,hi-iš
UntN TZ 1,UntN_TZ_1_00054,(m)un-taš-dingir-gal-me
UntN TZ 1,UntN_TZ_1_00055,su-ku-ša-ak
UntN TZ 1,UntN_TZ_1_00056,i-me-ni
UntN TZ 1,UntN_TZ_1_00057,a-ha-ar
UntN TZ 1,UntN_TZ_1_00058,ta-an-ra
UntN TZ 1,UntN_TZ_1_00059,ha-at
UntN TZ 1,UntN_TZ_1_00060,dingir-gal
UntN TZ 1,UntN_TZ_1_00061,(d)in-šu-uš-na-ak
UntN TZ 1,UntN_TZ_1_00062,a-ak
UntN TZ 1,UntN_TZ_1_00063,(d)ki-ri-ri-ša
UntN TZ 1,UntN_TZ_1_00064,si-ia-an-ku-uk-pa-ri
UntN TZ 1,UntN_TZ_1_00065,uk-ku-ri
UntN TZ 1,UntN_TZ_1_00066,ir
UntN TZ 1,UntN_TZ_1_00067,ta-ak-ni
UntN TZ 1,UntN_TZ_1_00068,(d)na-ah-hu-un-te-ir
UntN TZ 1,UntN_TZ_1_00069,ša-ra-ra
UntN TZ 1,UntN_TZ_1_00070,pa-ar
UntN TZ 1,UntN_TZ_1_00071,a-ni
UntN TZ 1,UntN_TZ_1_00072,i
